"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;10.058;"0 : 39,1 : 103,2 : 9";5;"1 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 2 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 2 1 2 1 1 1 0 1 0 1 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 2 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;6.703;"0 : 28,1 : 103,2 : 11,3 : 9";4;"1 1 0 2 0 0 0 2 0 1 0 2 0 2 3 2 2 2 3 2 0 3 1 0 0 1 2 1 0 1 2 0 0 1 0 1 1 2 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 3 1 1 1 0 1 0 1 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 3 1 3 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;7.214;"0 : 35,1 : 101,2 : 8,3 : 7";8;"0 0 1 0 0 0 0 2 0 0 3 2 1 2 1 0 0 2 0 2 0 1 0 0 0 1 2 1 0 2 0 2 0 1 3 1 0 0 1 0 1 1 1 1 1 1 1 1 3 1 1 0 3 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 0 1 1 1 1 1 1 1 0 1 1 1 1 3 1 1 1 3 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
4;7.342;"0 : 36,1 : 99,2 : 8,3 : 8";9;"0 0 1 0 0 0 0 2 0 0 3 2 1 2 1 0 0 2 0 2 0 1 0 0 0 1 2 1 0 2 0 2 0 1 3 1 0 0 1 0 1 1 1 1 1 1 1 1 3 1 1 0 3 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 3 1 0 1 3 1 1 1 1 1 0 1 1 1 1 3 1 1 1 3 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.002;"0 : 18,1 : 105,2 : 13,3 : 7,4 : 8";2;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 1 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.007;"0 : 18,1 : 104,2 : 13,3 : 7,4 : 9";3;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 0 1 3 1 1 2 1 0 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 4 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.187;"0 : 28,1 : 100,2 : 8,3 : 7,4 : 8";7;"1 1 0 0 0 0 0 2 0 1 3 2 0 2 4 0 0 2 0 2 0 4 0 0 0 1 2 1 0 2 0 2 0 1 3 1 0 0 1 0 4 1 1 1 1 1 1 1 3 1 1 0 1 4 1 1 1 4 1 0 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 0 1 1 1 1 1 1 1 1 1 1 3 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 1 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.243;"0 : 14,1 : 105,2 : 14,3 : 9,4 : 9";1;"1 1 0 2 0 0 0 2 0 1 3 2 0 2 4 2 2 2 4 2 2 4 1 0 2 1 2 1 0 1 2 0 2 1 3 1 1 2 1 4 1 1 1 1 1 1 1 1 3 1 1 4 1 4 1 1 1 3 1 3 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.321;"0 : 26,1 : 102,2 : 9,3 : 6,4 : 8";6;"1 1 0 0 0 0 0 2 0 1 3 2 0 2 4 0 0 2 0 2 0 4 2 0 0 1 2 1 0 2 0 2 0 1 3 1 0 0 1 0 4 1 1 1 1 1 1 1 3 1 1 0 1 4 1 1 1 4 1 0 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 1 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;6.972;"0 : 30,1 : 100,2 : 8,3 : 6,4 : 7";10;"1 1 0 0 0 0 0 2 0 1 3 2 0 2 4 0 0 2 0 2 0 4 2 0 0 1 2 1 0 2 0 0 0 1 3 1 0 0 1 0 0 1 1 1 1 1 1 1 3 1 1 0 1 4 1 1 1 4 1 0 1 4 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 4 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;7.131;"0 : 40,1 : 86,2 : 9,3 : 8,4 : 8";13;"0 0 1 0 0 0 0 0 0 0 2 0 1 0 3 4 4 4 0 4 0 3 4 0 4 1 4 1 0 0 0 0 0 1 2 1 0 0 1 0 4 1 1 1 1 1 1 1 2 1 1 0 2 3 1 1 1 0 0 0 1 3 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 3 1 1 0 0 1 1 1 1 1 1 1 0 1 1 2 1 0 1 2 1 1 1 1 1 0 1 1 1 1 2 3 0 3 2 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 3 1 0 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 "
5;7.157;"0 : 32,1 : 99,2 : 7,3 : 7,4 : 6";11;"1 1 0 0 0 0 0 2 0 1 3 2 0 2 4 0 0 2 0 2 0 4 0 0 0 1 2 1 0 2 0 0 0 1 3 1 0 0 1 0 0 1 1 1 1 1 1 1 3 1 1 0 1 4 1 1 1 0 1 0 1 4 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 4 1 1 1 0 1 1 1 1 1 1 1 1 1 1 3 1 0 1 3 1 1 1 1 1 0 0 1 1 1 3 4 1 1 3 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
5;7.299;"0 : 40,1 : 87,2 : 7,3 : 9,4 : 8";12;"0 0 1 0 0 0 0 2 0 0 3 2 1 2 4 0 0 2 0 2 0 4 0 0 0 1 2 1 0 2 0 0 0 1 3 1 0 0 1 0 0 1 1 1 1 1 1 1 3 1 1 0 3 4 1 1 1 0 0 0 1 4 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 4 1 1 0 0 1 1 1 1 1 1 1 0 1 1 3 1 0 1 3 1 1 1 1 1 0 1 1 1 1 3 4 1 4 3 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 4 1 0 0 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 "
6;5.341;"0 : 45,1 : 10,2 : 78,3 : 7,4 : 5,5 : 6";18;"1 1 0 2 0 0 3 0 0 0 4 2 3 0 5 0 2 2 0 2 0 5 2 0 0 2 2 2 0 0 0 0 0 2 0 2 0 0 2 0 3 2 2 0 2 2 3 2 4 2 3 0 1 0 2 2 2 0 1 0 2 5 0 2 3 2 2 0 2 0 2 0 2 2 2 1 2 2 5 2 2 1 0 2 2 2 3 2 2 2 1 2 2 0 2 0 2 0 2 2 2 2 0 0 0 2 2 2 4 0 0 5 4 0 2 2 2 0 2 2 2 2 2 2 2 0 2 2 2 5 2 1 2 2 2 0 2 2 4 2 0 1 2 2 2 2 1 2 2 0 2 "
